text,sentiment
Nothing stood out about the,Neutral
The waiting time was too,Negative
Staff were kind and attentive,Positive
The service was excellent and,Positive
Staff were rude and unhelpful,Negative
I had an average visit,Neutral
The waiting time was too,Negative
I had an average visit,Neutral
Nothing stood out about the,Neutral
Staff were rude and unhelpful,Negative
The waiting time was too,Negative
The experience was fine overall,Neutral
The service here was disappointing,Negative
I had an average visit,Neutral
I did not feel cared,Negative
The service was excellent and,Positive
The facilities were dirty and,Negative
I had an average visit,Neutral
Service was neither bad nor,Neutral
The service was excellent and,Positive
Service was neither bad nor,Neutral
Nothing stood out about the,Neutral
The waiting time was too,Negative
The facilities were dirty and,Negative
The service here was disappointing,Negative
Doctors are very knowledgeable and,Positive
Doctors are very knowledgeable and,Positive
Doctors are very knowledgeable and,Positive
The waiting time was too,Negative
I had an average visit,Neutral
Facilities were adequate for basic,Neutral
I felt safe and cared,Positive
The experience was fine overall,Neutral
Service was neither bad nor,Neutral
Service was neither bad nor,Neutral
The waiting time was too,Negative
The service was excellent and,Positive
Facilities are clean and well,Positive
Nothing stood out about the,Neutral
Service was neither bad nor,Neutral
Staff were rude and unhelpful,Negative
Facilities were adequate for basic,Neutral
The facilities were dirty and,Negative
I had an average visit,Neutral
The service was excellent and,Positive
I had an average visit,Neutral
Service was neither bad nor,Positive
Staff were rude and unhelpful,Negative
Staff were kind and attentive,Positive
The waiting time was too,Negative
Facilities were adequate for basic,Neutral
Nothing stood out about the,Neutral
Staff were rude and unhelpful,Negative
Staff were kind and attentive,Positive
Facilities are clean and well,Positive
The service was excellent and,Positive
Doctors are very knowledgeable and,Positive
Facilities were adequate for basic,Neutral
Service was neither bad nor,Neutral
The facilities were dirty and,Negative
Staff were kind and attentive,Positive
I did not feel cared,Negative
Staff were rude and unhelpful,Negative
I had an average visit,Neutral
The facilities were dirty and,Negative
The experience was fine overall,Neutral
Service was neither bad nor,Neutral
The service here was disappointing,Negative
Service was neither bad nor,Positive
The waiting time was too,Negative
Doctors are very knowledgeable and,Positive
Facilities are clean and well,Positive
Nothing stood out about the,Neutral
Facilities are clean and well,Positive
The experience was fine overall,Neutral
The facilities were dirty and,Negative
Doctors are very knowledgeable and,Positive
The waiting time was too,Negative
I had an average visit,Neutral
Staff were rude and unhelpful,Negative
Staff were kind and attentive,Positive
The experience was fine overall,Neutral
Doctors are very knowledgeable and,Positive
I did not feel cared,Negative
Service was neither bad nor,Neutral
Service was neither bad nor,Neutral
I had an average visit,Neutral
The experience was fine overall,Neutral
Nothing stood out about the,Neutral
The experience was fine overall,Neutral
Service was neither bad nor,Neutral
Facilities were adequate for basic,Neutral
Staff were rude and unhelpful,Negative
